tract,state_abbr,year,hpi
2020002400,AK,2000,131.19
2020002501,AK,2000,113.85
2020002502,AK,2000,105.49
2020002601,AK,2000,111.79
2020002602,AK,2000,108.68
2020002603,AK,2000,99.58
2020002711,AK,2000,252.34
2020002712,AK,2000,114.65
2020002713,AK,2000,177.92
2020002714,AK,2000,116.16
2020002811,AK,2000,113.54
2020002812,AK,2000,120.86
2020002813,AK,2000,125.22
2020002821,AK,2000,116.11
2020002822,AK,2000,123.36
2020002823,AK,2000,116.28
2090000200,AK,2000,104.06
2090000400,AK,2000,113.05
2090000600,AK,2000,112.55
2090000700,AK,2000,116.64
2090000800,AK,2000,104.43
2090000900,AK,2000,125.42
2090001200,AK,2000,111.60
2090001300,AK,2000,119.40
2090001401,AK,2000,105.20
2090001501,AK,2000,101.29
2090001502,AK,2000,110.98
2090001600,AK,2000,107.71
2090001901,AK,2000,128.96
2090001902,AK,2000,108.33
2110000100,AK,2000,169.74
2110000200,AK,2000,147.04
2110000300,AK,2000,152.30
2110000400,AK,2000,139.59
2110000500,AK,2000,145.67
2110000600,AK,2000,149.31
2122000400,AK,2000,101.43
2122000500,AK,2000,107.19
2122000600,AK,2000,111.42
2122001000,AK,2000,110.65
2130000101,AK,2000,117.67
2130000200,AK,2000,155.57
2130000300,AK,2000,109.54
2130000400,AK,2000,117.22
2150000200,AK,2000,133.36
2170000300,AK,2000,98.29
2170000601,AK,2000,104.76
2170000603,AK,2000,98.63
2170000705,AK,2000,99.81
2170000706,AK,2000,107.88
2170000800,AK,2000,106.82
2170000900,AK,2000,106.11
2170001001,AK,2000,102.64
2170001003,AK,2000,101.12
2170001004,AK,2000,115.81
2170001100,AK,2000,98.78
2170001201,AK,2000,98.53
2170001202,AK,2000,108.99
2170001300,AK,2000,110.43
2220000100,AK,2000,158.27
2220000200,AK,2000,178.71
4001970501,AZ,2000,141.85
4001970502,AZ,2000,113.68
4003000202,AZ,2000,102.91
4003000301,AZ,2000,99.83
4003000700,AZ,2000,110.09
4003000800,AZ,2000,93.84
4003001000,AZ,2000,99.83
4003001100,AZ,2000,112.22
4003001200,AZ,2000,101.74
4003001501,AZ,2000,104.13
4003001502,AZ,2000,97.30
4003001601,AZ,2000,113.96
4003001701,AZ,2000,117.35
4003001702,AZ,2000,103.93
4003001703,AZ,2000,125.23
4003001801,AZ,2000,124.33
4003001802,AZ,2000,131.48
4003001900,AZ,2000,143.81
4003002001,AZ,2000,122.00
4003002002,AZ,2000,101.70
4003002100,AZ,2000,107.89
4005000100,AZ,2000,193.73
4005000200,AZ,2000,159.72
4005000301,AZ,2000,148.94
4005000400,AZ,2000,185.76
4005000500,AZ,2000,150.72
4005000601,AZ,2000,160.11
4005000602,AZ,2000,134.83
4005000700,AZ,2000,179.41
4005000901,AZ,2000,107.94
4005000902,AZ,2000,103.91
4005001101,AZ,2000,183.07
4005001201,AZ,2000,177.37
4005001301,AZ,2000,166.78
4005001302,AZ,2000,157.70
4005001500,AZ,2000,180.97
4005001601,AZ,2000,150.72
4005001602,AZ,2000,133.26
4005001700,AZ,2000,119.00
4005002101,AZ,2000,149.07
4005002102,AZ,2000,144.63
4005002201,AZ,2000,116.48
4005002202,AZ,2000,158.23
4007000100,AZ,2000,115.25
4007000301,AZ,2000,160.23
4007000302,AZ,2000,155.97
